                                                   
{'loss': 0.9458, 'grad_norm': 1.5854575634002686, 'learning_rate': 1.9945959813538615e-05, 'epoch': 0.19}
{'loss': 0.9282, 'grad_norm': 1.6305451393127441, 'learning_rate': 1.994315565469723e-05, 'epoch': 0.19}
{'loss': 0.877, 'grad_norm': 1.6324267387390137, 'learning_rate': 1.994028077733878e-05, 'epoch': 0.2}
{'loss': 0.9846, 'grad_norm': 1.6889243125915527, 'learning_rate': 1.9937335201910187e-05, 'epoch': 0.2}
{'loss': 0.9669, 'grad_norm': 1.6787070035934448, 'learning_rate': 1.9934318949361218e-05, 'epoch': 0.2}
{'loss': 0.8931, 'grad_norm': 1.5636168718338013, 'learning_rate': 1.9931232041144308e-05, 'epoch': 0.2}
{'loss': 0.961, 'grad_norm': 1.8080490827560425, 'learning_rate': 1.992807449921441e-05, 'epoch': 0.21}
{'loss': 0.8974, 'grad_norm': 1.5941165685653687, 'learning_rate': 1.9924846346028858e-05, 'epoch': 0.21}
{'loss': 0.9318, 'grad_norm': 1.5220539569854736, 'learning_rate': 1.992154760454718e-05, 'epoch': 0.21}
{'loss': 0.8836, 'grad_norm': 1.538544774055481, 'learning_rate': 1.9918178298230955e-05, 'epoch': 0.21}
{'loss': 0.8896, 'grad_norm': 1.7194223403930664, 'learning_rate': 1.9914738451043633e-05, 'epoch': 0.22}
{'loss': 0.9291, 'grad_norm': 1.491509199142456, 'learning_rate': 1.9911228087450375e-05, 'epoch': 0.22}
{'loss': 0.8722, 'grad_norm': 1.6314362287521362, 'learning_rate': 1.9907647232417873e-05, 'epoch': 0.22}
{'loss': 0.953, 'grad_norm': 1.625592827796936, 'learning_rate': 1.9903995911414174e-05, 'epoch': 0.22}
{'loss': 0.8898, 'grad_norm': 1.5939521789550781, 'learning_rate': 1.9900274150408503e-05, 'epoch': 0.23}
{'loss': 0.958, 'grad_norm': 1.8044265508651733, 'learning_rate': 1.9896481975871063e-05, 'epoch': 0.23}
{'loss': 0.9478, 'grad_norm': 1.6571329832077026, 'learning_rate': 1.989261941477287e-05, 'epoch': 0.23}
{'loss': 0.9592, 'grad_norm': 1.6140813827514648, 'learning_rate': 1.9888686494585543e-05, 'epoch': 0.23}
{'loss': 0.9341, 'grad_norm': 1.4868266582489014, 'learning_rate': 1.9884683243281117e-05, 'epoch': 0.23}
{'loss': 0.9287, 'grad_norm': 1.5125192403793335, 'learning_rate': 1.9880609689331837e-05, 'epoch': 0.24}
{'loss': 0.9025, 'grad_norm': 1.664631962776184, 'learning_rate': 1.987646586170996e-05, 'epoch': 0.24}
{'loss': 0.8841, 'grad_norm': 1.5907392501831055, 'learning_rate': 1.9872251789887563e-05, 'epoch': 0.24}
{'loss': 0.9299, 'grad_norm': 1.507388710975647, 'learning_rate': 1.98679675038363e-05, 'epoch': 0.24}
{'loss': 0.9468, 'grad_norm': 1.5859721899032593, 'learning_rate': 1.9863613034027224e-05, 'epoch': 0.25}
{'loss': 0.9583, 'grad_norm': 1.6109974384307861, 'learning_rate': 1.9859188411430542e-05, 'epoch': 0.25}
{'loss': 0.9254, 'grad_norm': 1.51360285282135, 'learning_rate': 1.985469366751542e-05, 'epoch': 0.25}
{'loss': 0.883, 'grad_norm': 1.4190380573272705, 'learning_rate': 1.985012883424973e-05, 'epoch': 0.25}
{'loss': 0.9255, 'grad_norm': 1.3122001886367798, 'learning_rate': 1.9845493944099856e-05, 'epoch': 0.26}
{'loss': 0.9346, 'grad_norm': 1.3904377222061157, 'learning_rate': 1.984078903003044e-05, 'epoch': 0.26}
{'loss': 0.9542, 'grad_norm': 1.7489687204360962, 'learning_rate': 1.9836014125504146e-05, 'epoch': 0.26}
{'loss': 0.9347, 'grad_norm': 1.5013140439987183, 'learning_rate': 1.9831169264481446e-05, 'epoch': 0.26}
{'loss': 0.99, 'grad_norm': 1.4842385053634644, 'learning_rate': 1.9826254481420345e-05, 'epoch': 0.27}
{'loss': 0.8985, 'grad_norm': 1.5070749521255493, 'learning_rate': 1.9821269811276164e-05, 'epoch': 0.27}
{'loss': 0.9376, 'grad_norm': 1.4431917667388916, 'learning_rate': 1.981621528950128e-05, 'epoch': 0.27}
{'loss': 0.9646, 'grad_norm': 1.5379737615585327, 'learning_rate': 1.9811090952044867e-05, 'epoch': 0.27}
{'loss': 0.9337, 'grad_norm': 1.573997139930725, 'learning_rate': 1.980589683535266e-05, 'epoch': 0.28}
{'loss': 0.9423, 'grad_norm': 1.4559860229492188, 'learning_rate': 1.9800632976366668e-05, 'epoch': 0.28}
{'loss': 0.9054, 'grad_norm': 1.6811277866363525, 'learning_rate': 1.9795299412524948e-05, 'epoch': 0.28}
{'loss': 0.9445, 'grad_norm': 1.4144102334976196, 'learning_rate': 1.978989618176129e-05, 'epoch': 0.28}
{'loss': 0.9153, 'grad_norm': 1.264793872833252, 'learning_rate': 1.9784423322505e-05, 'epoch': 0.29}
{'loss': 0.944, 'grad_norm': 1.494559645652771, 'learning_rate': 1.9778880873680587e-05, 'epoch': 0.29}
{'loss': 0.9513, 'grad_norm': 1.4890446662902832, 'learning_rate': 1.9773268874707504e-05, 'epoch': 0.29}
{'loss': 0.8801, 'grad_norm': 1.346342921257019, 'learning_rate': 1.9767587365499865e-05, 'epoch': 0.29}
{'loss': 0.9772, 'grad_norm': 1.724584937095642, 'learning_rate': 1.976183638646616e-05, 'epoch': 0.3}
{'loss': 0.9314, 'grad_norm': 1.5566728115081787, 'learning_rate': 1.975601597850897e-05, 'epoch': 0.3}
{'loss': 0.9292, 'grad_norm': 1.4065184593200684, 'learning_rate': 1.975012618302467e-05, 'epoch': 0.3}
{'loss': 0.9105, 'grad_norm': 1.4220291376113892, 'learning_rate': 1.974416704190314e-05, 'epoch': 0.3}
{'loss': 0.973, 'grad_norm': 1.356624722480774, 'learning_rate': 1.9738138597527467e-05, 'epoch': 0.31}
{'loss': 0.9227, 'grad_norm': 1.2220109701156616, 'learning_rate': 1.9732040892773644e-05, 'epoch': 0.31}
{'loss': 0.9215, 'grad_norm': 1.354285717010498, 'learning_rate': 1.9725873971010256e-05, 'epoch': 0.31}
{'loss': 0.9685, 'grad_norm': 1.3082956075668335, 'learning_rate': 1.9719637876098186e-05, 'epoch': 0.31}
{'loss': 0.886, 'grad_norm': 1.278078317642212, 'learning_rate': 1.9713332652390293e-05, 'epoch': 0.32}
{'loss': 0.911, 'grad_norm': 1.2510770559310913, 'learning_rate': 1.97069583447311e-05, 'epoch': 0.32}
{'loss': 0.9511, 'grad_norm': 1.3285781145095825, 'learning_rate': 1.9700514998456475e-05, 'epoch': 0.32}
{'loss': 0.9065, 'grad_norm': 1.3103891611099243, 'learning_rate': 1.9694002659393306e-05, 'epoch': 0.32}
{'loss': 0.8851, 'grad_norm': 1.4082419872283936, 'learning_rate': 1.9687421373859175e-05, 'epoch': 0.33}
{'loss': 0.9807, 'grad_norm': 1.3720228672027588, 'learning_rate': 1.9680771188662044e-05, 'epoch': 0.33}
{'loss': 0.9492, 'grad_norm': 1.369783639907837, 'learning_rate': 1.967405215109989e-05, 'epoch': 0.33}
{'loss': 0.9044, 'grad_norm': 1.234953761100769, 'learning_rate': 1.96672643089604e-05, 'epoch': 0.33}
{'loss': 0.9235, 'grad_norm': 1.2009837627410889, 'learning_rate': 1.9660407710520613e-05, 'epoch': 0.34}
{'loss': 0.9391, 'grad_norm': 1.3312592506408691, 'learning_rate': 1.9653482404546583e-05, 'epoch': 0.34}
{'loss': 0.918, 'grad_norm': 1.390929937362671, 'learning_rate': 1.9646488440293035e-05, 'epoch': 0.34}
{'loss': 0.9667, 'grad_norm': 1.37642240524292, 'learning_rate': 1.9639425867503008e-05, 'epoch': 0.34}
{'loss': 1.0067, 'grad_norm': 1.4149961471557617, 'learning_rate': 1.96322947364075e-05, 'epoch': 0.35}
{'loss': 1.0089, 'grad_norm': 1.6488128900527954, 'learning_rate': 1.9625095097725128e-05, 'epoch': 0.35}
{'loss': 0.8675, 'grad_norm': 1.2531349658966064, 'learning_rate': 1.9617827002661734e-05, 'epoch': 0.35}
{'loss': 0.9423, 'grad_norm': 1.4171032905578613, 'learning_rate': 1.9610490502910058e-05, 'epoch': 0.35}
{'loss': 0.9279, 'grad_norm': 1.3946895599365234, 'learning_rate': 1.960308565064935e-05, 'epoch': 0.36}
{'loss': 0.9223, 'grad_norm': 1.3791255950927734, 'learning_rate': 1.9595612498544997e-05, 'epoch': 0.36}
{'loss': 0.9431, 'grad_norm': 1.2803809642791748, 'learning_rate': 1.958807109974816e-05, 'epoch': 0.36}
{'loss': 0.9084, 'grad_norm': 1.246504783630371, 'learning_rate': 1.9580461507895382e-05, 'epoch': 0.36}
{'loss': 0.9265, 'grad_norm': 1.3317606449127197, 'learning_rate': 1.957278377710822e-05, 'epoch': 0.37}
{'loss': 0.9484, 'grad_norm': 1.3598695993423462, 'learning_rate': 1.9565037961992853e-05, 'epoch': 0.37}
{'loss': 0.9443, 'grad_norm': 1.3594998121261597, 'learning_rate': 1.95572241176397e-05, 'epoch': 0.37}
{'loss': 0.9552, 'grad_norm': 1.3925111293792725, 'learning_rate': 1.9549342299623012e-05, 'epoch': 0.37}
{'loss': 0.9387, 'grad_norm': 1.2589051723480225, 'learning_rate': 1.954139256400049e-05, 'epoch': 0.38}
{'loss': 0.9127, 'grad_norm': 1.3041234016418457, 'learning_rate': 1.9533374967312894e-05, 'epoch': 0.38}
{'loss': 0.9285, 'grad_norm': 1.155224323272705, 'learning_rate': 1.9525289566583626e-05, 'epoch': 0.38}
{'loss': 0.953, 'grad_norm': 1.220445156097412, 'learning_rate': 1.9517136419318323e-05, 'epoch': 0.38}
{'loss': 0.9149, 'grad_norm': 1.1863911151885986, 'learning_rate': 1.950891558350446e-05, 'epoch': 0.39}
{'loss': 0.9434, 'grad_norm': 1.2930803298950195, 'learning_rate': 1.950062711761093e-05, 'epoch': 0.39}
{'loss': 0.9006, 'grad_norm': 1.2914988994598389, 'learning_rate': 1.949227108058764e-05, 'epoch': 0.39}
{'loss': 0.9298, 'grad_norm': 1.3515616655349731, 'learning_rate': 1.9483847531865062e-05, 'epoch': 0.39}
{'loss': 0.8924, 'grad_norm': 1.2246127128601074, 'learning_rate': 1.947535653135385e-05, 'epoch': 0.4}
{'loss': 0.9347, 'grad_norm': 1.2170710563659668, 'learning_rate': 1.9466798139444384e-05, 'epoch': 0.4}
{'loss': 0.9074, 'grad_norm': 1.2323960065841675, 'learning_rate': 1.9458172417006347e-05, 'epoch': 0.4}
{'loss': 0.9394, 'grad_norm': 1.1383031606674194, 'learning_rate': 1.9449479425388308e-05, 'epoch': 0.4}
{'loss': 0.9681, 'grad_norm': 1.256695032119751, 'learning_rate': 1.9440719226417264e-05, 'epoch': 0.41}
{'loss': 0.9259, 'grad_norm': 1.385348916053772, 'learning_rate': 1.9431891882398207e-05, 'epoch': 0.41}
{'loss': 0.9851, 'grad_norm': 1.3597108125686646, 'learning_rate': 1.9422997456113695e-05, 'epoch': 0.41}
{'loss': 0.9312, 'grad_norm': 1.3501003980636597, 'learning_rate': 1.941403601082338e-05, 'epoch': 0.41}
{'loss': 0.908, 'grad_norm': 1.1582311391830444, 'learning_rate': 1.9405007610263586e-05, 'epoch': 0.42}
{'loss': 0.9211, 'grad_norm': 1.1230828762054443, 'learning_rate': 1.939591231864683e-05, 'epoch': 0.42}
{'loss': 0.8476, 'grad_norm': 1.1592403650283813, 'learning_rate': 1.9386750200661386e-05, 'epoch': 0.42}
{'loss': 0.9412, 'grad_norm': 1.1566237211227417, 'learning_rate': 1.9377521321470806e-05, 'epoch': 0.42}
{'loss': 0.9724, 'grad_norm': 1.2545251846313477, 'learning_rate': 1.936822574671348e-05, 'epoch': 0.43}
{'loss': 0.9958, 'grad_norm': 1.3048603534698486, 'learning_rate': 1.9358863542502137e-05, 'epoch': 0.43}
{'loss': 0.8895, 'grad_norm': 1.3395761251449585, 'learning_rate': 1.9349434775423414e-05, 'epoch': 0.43}
{'loss': 0.9308, 'grad_norm': 1.219895601272583, 'learning_rate': 1.9339939512537347e-05, 'epoch': 0.43}
{'loss': 1.0023, 'grad_norm': 1.365004301071167, 'learning_rate': 1.9330377821376916e-05, 'epoch': 0.44}
{'loss': 0.9175, 'grad_norm': 1.169545292854309, 'learning_rate': 1.9320749769947555e-05, 'epoch': 0.44}
{'loss': 0.9213, 'grad_norm': 1.1811068058013916, 'learning_rate': 1.931105542672667e-05, 'epoch': 0.44}
{'loss': 0.8985, 'grad_norm': 1.2679437398910522, 'learning_rate': 1.9301294860663152e-05, 'epoch': 0.44}
{'loss': 0.904, 'grad_norm': 1.1926050186157227, 'learning_rate': 1.9291468141176898e-05, 'epoch': 0.45}
{'loss': 0.943, 'grad_norm': 1.1524808406829834, 'learning_rate': 1.928157533815829e-05, 'epoch': 0.45}
{'loss': 0.937, 'grad_norm': 1.261172890663147, 'learning_rate': 1.9271616521967727e-05, 'epoch': 0.45}
{'loss': 0.9382, 'grad_norm': 1.2467552423477173, 'learning_rate': 1.9261591763435106e-05, 'epoch': 0.45}
{'loss': 0.8972, 'grad_norm': 1.114693284034729, 'learning_rate': 1.9251501133859327e-05, 'epoch': 0.46}
{'loss': 0.9329, 'grad_norm': 1.2575377225875854, 'learning_rate': 1.9241344705007784e-05, 'epoch': 0.46}
{'loss': 0.9453, 'grad_norm': 1.3774069547653198, 'learning_rate': 1.9231122549115854e-05, 'epoch': 0.46}
{'loss': 0.9421, 'grad_norm': 1.1504583358764648, 'learning_rate': 1.922083473888638e-05, 'epoch': 0.46}
{'loss': 0.9311, 'grad_norm': 1.2600561380386353, 'learning_rate': 1.921048134748916e-05, 'epoch': 0.46}
{'loss': 0.9532, 'grad_norm': 1.2171794176101685, 'learning_rate': 1.9200062448560424e-05, 'epoch': 0.47}
{'loss': 0.9512, 'grad_norm': 1.2375601530075073, 'learning_rate': 1.918957811620231e-05, 'epoch': 0.47}
{'loss': 0.9466, 'grad_norm': 1.3002194166183472, 'learning_rate': 1.917902842498233e-05, 'epoch': 0.47}
{'loss': 0.9017, 'grad_norm': 1.149412989616394, 'learning_rate': 1.9168413449932856e-05, 'epoch': 0.47}
{'loss': 0.9358, 'grad_norm': 1.175121784210205, 'learning_rate': 1.9157733266550577e-05, 'epoch': 0.48}
{'loss': 0.9839, 'grad_norm': 1.2743844985961914, 'learning_rate': 1.9146987950795953e-05, 'epoch': 0.48}
{'loss': 0.9519, 'grad_norm': 1.2625439167022705, 'learning_rate': 1.913617757909269e-05, 'epoch': 0.48}
{'loss': 0.9228, 'grad_norm': 1.1580008268356323, 'learning_rate': 1.9125302228327194e-05, 'epoch': 0.48}
{'loss': 0.9437, 'grad_norm': 1.121748924255371, 'learning_rate': 1.9114361975848008e-05, 'epoch': 0.49}
{'loss': 0.9015, 'grad_norm': 1.080142855644226, 'learning_rate': 1.910335689946529e-05, 'epoch': 0.49}
{'loss': 0.908, 'grad_norm': 1.317852258682251, 'learning_rate': 1.9092287077450227e-05, 'epoch': 0.49}
{'loss': 0.9561, 'grad_norm': 1.383284330368042, 'learning_rate': 1.9081152588534512e-05, 'epoch': 0.49}
{'loss': 0.9645, 'grad_norm': 1.2837343215942383, 'learning_rate': 1.906995351190976e-05, 'epoch': 0.5}
{'loss': 0.9494, 'grad_norm': 1.2879928350448608, 'learning_rate': 1.9058689927226938e-05, 'epoch': 0.5}
{'loss': 0.9322, 'grad_norm': 1.1940381526947021, 'learning_rate': 1.9047361914595836e-05, 'epoch': 0.5}
{'loss': 0.9385, 'grad_norm': 1.219518780708313, 'learning_rate': 1.9035969554584465e-05, 'epoch': 0.5}
{'loss': 0.9558, 'grad_norm': 1.2416965961456299, 'learning_rate': 1.9024512928218484e-05, 'epoch': 0.51}
{'loss': 0.9026, 'grad_norm': 1.3040286302566528, 'learning_rate': 1.901299211698064e-05, 'epoch': 0.51}
{'loss': 0.9316, 'grad_norm': 1.3063656091690063, 'learning_rate': 1.9001407202810184e-05, 'epoch': 0.51}
{'loss': 0.9577, 'grad_norm': 1.265202522277832, 'learning_rate': 1.8989758268102276e-05, 'epoch': 0.51}
{'loss': 0.9205, 'grad_norm': 1.4014948606491089, 'learning_rate': 1.897804539570742e-05, 'epoch': 0.52}
{'loss': 0.954, 'grad_norm': 1.13740873336792, 'learning_rate': 1.8966268668930847e-05, 'epoch': 0.52}
{'loss': 0.8943, 'grad_norm': 1.1404181718826294, 'learning_rate': 1.895442817153195e-05, 'epoch': 0.52}
{'loss': 0.8742, 'grad_norm': 1.1928508281707764, 'learning_rate': 1.894252398772368e-05, 'epoch': 0.52}
{'loss': 0.9331, 'grad_norm': 1.1987488269805908, 'learning_rate': 1.8930556202171932e-05, 'epoch': 0.53}
{'loss': 0.9107, 'grad_norm': 1.4070318937301636, 'learning_rate': 1.891852489999496e-05, 'epoch': 0.53}
{'loss': 0.9083, 'grad_norm': 1.0965772867202759, 'learning_rate': 1.8906430166762764e-05, 'epoch': 0.53}
{'loss': 0.9646, 'grad_norm': 1.2990647554397583, 'learning_rate': 1.8894272088496488e-05, 'epoch': 0.53}
{'loss': 1.0009, 'grad_norm': 1.26045823097229, 'learning_rate': 1.88820507516678e-05, 'epoch': 0.54}
{'loss': 0.9281, 'grad_norm': 1.2549570798873901, 'learning_rate': 1.8869766243198288e-05, 'epoch': 0.54}
{'loss': 0.9778, 'grad_norm': 1.2951570749282837, 'learning_rate': 1.885741865045882e-05, 'epoch': 0.54}
{'loss': 1.0007, 'grad_norm': 1.17681086063385, 'learning_rate': 1.8845008061268948e-05, 'epoch': 0.54}
{'loss': 0.9219, 'grad_norm': 1.1607778072357178, 'learning_rate': 1.8832534563896267e-05, 'epoch': 0.55}
{'loss': 0.9192, 'grad_norm': 1.155052661895752, 'learning_rate': 1.88199982470558e-05, 'epoch': 0.55}
{'loss': 0.9508, 'grad_norm': 1.2257177829742432, 'learning_rate': 1.8807399199909353e-05, 'epoch': 0.55}
{'loss': 0.9671, 'grad_norm': 1.2596502304077148, 'learning_rate': 1.879473751206489e-05, 'epoch': 0.55}
{'loss': 0.9706, 'grad_norm': 1.2603237628936768, 'learning_rate': 1.8782013273575897e-05, 'epoch': 0.56}
{'loss': 0.8574, 'grad_norm': 1.0522408485412598, 'learning_rate': 1.8769226574940727e-05, 'epoch': 0.56}
{'loss': 0.9402, 'grad_norm': 1.1618448495864868, 'learning_rate': 1.8756377507101976e-05, 'epoch': 0.56}
{'loss': 0.8968, 'grad_norm': 1.2311698198318481, 'learning_rate': 1.8743466161445823e-05, 'epoch': 0.56}
