                                                   
{'loss': 1.0141, 'grad_norm': 1.03657865524292, 'learning_rate': 1.9937335201910187e-05, 'epoch': 0.2}
{'loss': 1.0028, 'grad_norm': 1.0933210849761963, 'learning_rate': 1.9934318949361218e-05, 'epoch': 0.2}
{'loss': 0.9384, 'grad_norm': 0.9935190081596375, 'learning_rate': 1.9931232041144308e-05, 'epoch': 0.2}
{'loss': 0.9979, 'grad_norm': 1.1287386417388916, 'learning_rate': 1.992807449921441e-05, 'epoch': 0.21}
{'loss': 0.9321, 'grad_norm': 0.9815153479576111, 'learning_rate': 1.9924846346028858e-05, 'epoch': 0.21}
{'loss': 0.9671, 'grad_norm': 0.9941682815551758, 'learning_rate': 1.992154760454718e-05, 'epoch': 0.21}
{'loss': 0.9188, 'grad_norm': 1.004697561264038, 'learning_rate': 1.9918178298230955e-05, 'epoch': 0.21}
{'loss': 0.9233, 'grad_norm': 1.0740094184875488, 'learning_rate': 1.9914738451043633e-05, 'epoch': 0.22}
{'loss': 0.9672, 'grad_norm': 0.9764972925186157, 'learning_rate': 1.9911228087450375e-05, 'epoch': 0.22}
{'loss': 0.9143, 'grad_norm': 1.0556787252426147, 'learning_rate': 1.9907647232417873e-05, 'epoch': 0.22}
{'loss': 0.9902, 'grad_norm': 1.1496939659118652, 'learning_rate': 1.9903995911414174e-05, 'epoch': 0.22}
{'loss': 0.9233, 'grad_norm': 0.978070855140686, 'learning_rate': 1.9900274150408503e-05, 'epoch': 0.23}
{'loss': 0.9867, 'grad_norm': 1.1029876470565796, 'learning_rate': 1.9896481975871063e-05, 'epoch': 0.23}
{'loss': 0.9826, 'grad_norm': 1.0897506475448608, 'learning_rate': 1.989261941477287e-05, 'epoch': 0.23}
{'loss': 0.9921, 'grad_norm': 1.1555070877075195, 'learning_rate': 1.9888686494585543e-05, 'epoch': 0.23}
{'loss': 0.9734, 'grad_norm': 1.0240422487258911, 'learning_rate': 1.9884683243281117e-05, 'epoch': 0.23}
{'loss': 0.9599, 'grad_norm': 1.0044703483581543, 'learning_rate': 1.9880609689331837e-05, 'epoch': 0.24}
{'loss': 0.9306, 'grad_norm': 1.1005786657333374, 'learning_rate': 1.987646586170996e-05, 'epoch': 0.24}
{'loss': 0.9213, 'grad_norm': 1.1444977521896362, 'learning_rate': 1.9872251789887563e-05, 'epoch': 0.24}
{'loss': 0.961, 'grad_norm': 1.0067850351333618, 'learning_rate': 1.98679675038363e-05, 'epoch': 0.24}
{'loss': 0.983, 'grad_norm': 1.0879864692687988, 'learning_rate': 1.9863613034027224e-05, 'epoch': 0.25}
{'loss': 0.9956, 'grad_norm': 1.0806351900100708, 'learning_rate': 1.9859188411430542e-05, 'epoch': 0.25}
{'loss': 0.9553, 'grad_norm': 1.0836234092712402, 'learning_rate': 1.985469366751542e-05, 'epoch': 0.25}
{'loss': 0.9144, 'grad_norm': 1.0205647945404053, 'learning_rate': 1.985012883424973e-05, 'epoch': 0.25}
